namespace,key,label::fr,label::en,label_one::fr,label_one::en
household,addGroupedObject,Ajouter une personne manquante,Add a missing person,,
household,deleteThisGroupedObject,Supprimer cette personne,Delete this person,,
home,popup.homeOwnershipTitle,Pourquoi cette question?,Why this question?,,
home,popup.homeOwnershipContent,"**Pourquoi cette question?**
Le statut d’occupation du logement (locataire ou propriétaire) est associé à des comportements de mobilité différents. Cette information nous permet de mieux interpréter les résultats de l’enquête et de nous assurer que les données recueillies sont représentatives de l’ensemble des ménages de la région.","**Why this question?**
Housing occupancy status (renter or homeowner) is associated with different mobility behaviors. This information allows us to better interpret the survey results and ensures that the collected data is representative of all households in the region.",,
home,popup.householdSizeTitle,Qui inclure dans ce nombre?,Who should be included in this number?,,
home,popup.householdSizeContent,"**Qui inclure dans ce nombre?**
<span class=""_green"">Inclure :</span>
- Vous-même
- Les enfants en garde partagée s'ils étaient présents à votre domicile le <span class=""_green"">{{assignedDate}}</span>
Les chambreuses, les chambreurs et colocataires, ainsi que tous ceux et celles qui vivent en communauté domestique","**Who should be included in this number?**
<span class=""_green"">Include :</span>
- Yourself
- Children in shared custody if they were present at your home on <span class=""_green"">{{assignedDate}}</span>
- Roommates and housemates, as well as all people living in a shared household community",,
home,home_carParkingsAvailableVehicleHousehold_one,"**Stationnement(s) disponible(s) au domicile** pour le véhicule de votre ménage. 
__Vous pouvez laisser cette question vide si aucun choix ne s’applique à votre situation__","**Parking** available at home for your household's vehicle
__You may leave this question blank if none of the options apply to your situation.__",,
home,popup.householdCarNumberTitle,Quels véhicules inclure dans ce nombre?,Which vehicles should be included in this number?,,
home,popup.householdCarNumberContent,"**Quels véhicules inclure?**
<span class=""_green"">Inclure :</span> 
- Les automobiles, VUS, camions légers, camions et fourgonnettes
- Les véhicules fournis ou loués par un employeur que les membres de votre ménage utilisent pour aller au travail ou pour des raisons personnelles
<span class=""_red"">Ne pas inclure :</span> 
- Les mobylettes, scooters et motos (à essence ou électriques)
- Les véhicules d’autopartage
- Un véhicule stationné au lieu de travail utilisé exclusivement pour le travail
- Les véhicules remisés ou de collection utilisés rarement","**Which vehicles should be included?**
<span class=""_green"">Include:</span>
- Cars, SUVs, light trucks, trucks, and vans
- Vehicles provided or leased by an employer that members of your household use for commuting or personal reasons
<span class=""_red"">Do not include:</span>
- Mopeds, scooters, and motorcycles (gas or electric)
- Car-sharing vehicles
- A vehicle parked at the workplace and used exclusively for work
- Stored or collector vehicles used rarely",,
home,popup.householdTwoWheelTitle,Quels véhicules inclure dans ce nombre?,Which vehicles should be included in this number?,,
home,popup.householdTwoWheelContent,"**Quels véhicules inclure?**
<span class=""_green"">Inclure :</span> 
- Les mobylettes, scooters et motos (à essence ou électriques)
<span class=""_red"">Ne pas inclure :</span> 
- Les automobiles, VUS, camions légers, camions et fourgonnettes
- Les vélos ou vélos électriques
- Les trottinettes ou trottinettes électriques","**Which vehicles should be included?**
<span class=""_green"">Include:</span>
- Mopeds, and motorcycles (gas or electric)
<span class=""_red"">Do not include:</span>
- Cars, SUVs, light trucks, trucks, and vans
- Bicycles or electric bicycles
- Scooters or electric scooters",,
household,popup.studentTitle,Qui inclure?,Who should be included?,,
household,popup.studentContent,"**Qui considérer comme étudiant?** 
<span class=""_green"">Inclure :</span>
- Tous les étudiants et élèves à partir de 15 ans, indépendamment du niveau d'enseignement.
- Toute personne suivant des cours de façon régulière via un établissement.
- Toute personne actuellement en stage / alternance / apprentissage, mais inscrite dans un établissement d'enseignement.
<span class=""_red"">Ne pas inclure</span> les formations ponctuelles ou en ligne, les cours particuliers, etc.","**Who should be considered a student?**
<span class=""_green"">Include:</span>
- All students and pupils aged 15 and over, regardless of level of education
- Anyone taking regular courses through an educational institution
- Anyone currently in an internship, apprenticeship, or co-op program, but enrolled in an educational institution
<span class=""_red"">Do not include:</span>
- One-time or online training courses
- Private lessons, etc.",,
household,popup.workerTitle,Qui inclure?,Who should be included?,,
household,popup.workerContent,"**Qui considérer comme travailleur?** 
<span class=""_green"">Inclure </span> toute personne avec un emploi ou une entreprise, même si temporairement absente au moment de répondre (par exemple : congé de maladie, congé parental, vacances, mise à pied temporaire). 
<span class=""_green"">Inclure </span>  le travail salarié ou à son compte.
<span class=""_red"">Ne pas inclure</span> les personnes sans emploi et ne cherchant pas de travail.","**Who should be considered a worker?**
<span class=""_green"">Include:</span>
- Anyone with a job or a business, even if temporarily absent at the time of responding (e.g., sick leave, parental leave, vacation, temporary layoff)
- Both salaried employees and self-employed workers
<span class=""_red"">Do not include:</span>
- People without a job and not looking for work",,
