questionName,inputType,active,section,group,path,label::fr,label::en,label_one::fr,label_one::en,parameters,appearance,conditional,validation,choices,help_popup,inputRange,confirm_popup,containsHtml,customPath,customChoice,defaultValue,includeNotApplicable,comments
accessCode,String,True,home,,accessCode,"**Code d'accès**
__Inscrit dans la lettre reçue.__","**Access code**
__Printed on the letter you received.__",,,formatter=eightDigitsAccessCodeFormatter,,accessCodeIsSetCustomConditional,accessCodeValidation,,,,,True,,,,,
acceptToBeContactedForHelp,Radio,True,home,,acceptToBeContactedForHelp,"Je consens à être contacté(e) pour **continuer ou préciser le questionnaire**. 
__Si je ne le termine pas ou si certains des renseignements fournis sont incohérents.__","I consent to be contacted to **continue the survey**.
__If I do not complete it or if some of the information provided is incoherent.__",,,,,,,yesNo,,,,True,,,,,
wantToParticipateToDraw,Radio,True,home,,wantToParticipateToDraw,"Je souhaite participer au **tirage au sort**
__Seuls les gagnants seront contactés. Il est nécessaire de terminer le questionnaire pour être retenu ([Voir règlement](lien))__","I would like to participate in the **prize draw**
__Only winners will be contacted and an entry for the prize draw requires a complete and valid survey response([View rules](lien))__",,,,,,,yesNo,,,,True,,,,,
contactInformationIntro,InfoText,True,home,,contactInformationIntro,Veuillez saisir le courriel pour vous recontacter.,Please enter the email so we can contact you.,,,,,acceptsToBeContactedForHelp,,,,,,True,,,,,
contactEmail,String,True,home,,contactEmail,**Adresse courriel**,**Email address**,,,,,acceptsToBeContactedForHelp,emailValidation,,,,,True,,,,,
homeAddress,String,True,home,,home.address,**Adresse**,**Address**,,,,,,,,,,,True,,,,,
homeCity,String,True,home,,home.city,**Ville** ou **municipalité**,**City** or **municipality**,,,,,,,,,,,True,,,,,
homePostalCode,String,True,home,,home.postalCode,**Code postal**,**Postal Code**,,,formatter=canadianPostalCodeFormatter,,,postalCodeValidation,,,,,True,,,,,
homeGeography,Custom,True,home,,home.geography,"**Positionnement de votre domicile**
Recherchez votre domicile en utilisant son code postal ou son adresse en cliquant sur le bouton ci-dessous, ou veuillez positionner le lieu sur la carte en naviguant, zoomant et cliquant. Une fois le lieu localisé, vous pouvez déplacer le point pour plus de précision.","**Home location**
Search for your home using its postal code or address by clicking the button below, or please position the location on the map by navigating, zooming, and clicking. Once the location is located, you can move the point for greater precision.",,,,,,homeInTerritoryCustomValidation,,,,,True,,,,,FIXME home_geography : territoryValidation · Issue #8 · chairemobilite/od_mtl
homeIsMain,Radio,True,home,,home.isMain,"Le {{address}} est-elle la **résidence principale** de votre ménage?
__La résidence principale est le logement où votre ménage vit la majorité du temps (au moins 50 %)__","Is {{address}} your usual place of residence?
The usual place of residence is the dwelling where your household lives most of the time (at least 50%).",,,customLabels={{homeIsMainCustomLabel}},,sdrWithSecondaryHousesCustomConditional,,homeIsMain,,,,True,,,,,"Si réponse est non, terminer enquête (action à ajouter sur le serveur)
Custom label pour ajouter l'adresse au libellé"
householdOwnership,Radio,1,home,,household.ownership,Est-ce que votre ménage est locataire ou propriétaire de votre logement?,Does your household rent or own your home?,,,,,,,householdOwnershipChoices,householdOwnershipHelpPopup,,,,,,,,
householdSize,RadioNumber,True,home,,household.size,"**Personnes habitant votre domicile** ou logement
__Y compris vous-même et les enfants en garde partagée s'ils étaient à votre domicile le {{assignedDate}}.__","**Persons living in your home**
__Including yourself and children in shared custody if they were at your home on {{assignedDate}}.__",,,"min=1
max=6
OverMaxAllowed
customLabels={{householdSizeCustomLabel}}",,,householdSizeValidation,,householdSizeHelpPopup,,,True,,,,,Custom label because of the assigned date interpolation
householdCarNumber,RadioNumber,True,home,,household.carNumber,"**Automobiles**, VUS, camions légers ou fourgonnettes, etc.
__À la disposition de votre ménage.__","**Cars**, SUVs, light-duty trucks or vans, etc.
__Available to one or more members of your household.__",,,"min=0
Max=4
overMaxAllowed",,,carNumberValidation,,householdCarNumberHelpPopup,,,True,,,,,
householdTwoWheelNumber,Radio,True,home,,household.twoWheelNumber,"**Motocyclettes ou scooters** nécessitant un permis 
__Aussi appelé cyclomoteur ou mobylette__","**Motorcycles or scooters** requiring a licence
__Also known as mopeds or motorized scooters__",,,,,,,zeroToTwoPlus,twoWheelNumberHelpPopup,,,True,,,,,
homeCarParkingsAvailableVehicleHousehold,Checkbox,True,home,,home.carParkingAvailableVehicleHousehold,"**Stationnement(s) disponible(s) au domicile** pour les véhicules de votre ménage. 
__Vous pouvez laisser cette question vide si aucun choix ne s’applique à votre situation__","**Parking** available at home for your household's vehicles
__You may leave this question blank if none of the options apply to your situation.__",,,customLabels={{homeParkingAvailableCustomLabel}},,carParkingHomeWithVehicleConditional,,carParkingsHome,,,,True,,,,,"Custom label because of the car number plural
home_carParkingsAvailableVehicleHousehold : label · Issue #7 · chairemobilite/od_mtl"
homeCarParkingsAvailableNoVehicleHousehold,Radio,True,home,,home.carParkingAvailableNoVehicleHousehold,"Votre ménage a-t-il accès a une **entrée privée, garage ou place de stationnement réservée**?","Does your household have access to a **private driveway, garage, or reserved parking space?**",,,,,carParkingHomeWithoutVehicleConditional,,yesNo,,,,True,,,,,
